"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"10:50","6E","IndiGo","Male International Airport","MLE","Male","6E1131","2h 50m"
"10:50","AI","Air India","Jaipur","JAI","Jaipur","AI2781","2h 5m"
"10:50","AI","Air India","Jamnagar","JGA","Jamnagar","AI647","1h 35m"
"10:55","AI","Air India","Jodhpur","JDH","Jodhpur","AI645","1h 50m"
"11:00","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5217","1h 55m"
"11:05","6E","IndiGo","Jammu","IXJ","Jammu","6E5125","2h 35m"
"11:05","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET641","5h 10m"
"11:10","6E","IndiGo","Tribhuvan International","KTM","Kathmandu","6E1157","2h 45m"
"11:15","AI","Air India","Lucknow","LKO","Lucknow","AI2491","2h 20m"
"11:20","6E","IndiGo","Goa","GOI","Goa","6E261","1h 10m"
"11:20","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2952","2h 15m"
"11:20","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY201","3h 10m"
"11:20","AI","Air India","Goa","GOI","Goa","AI2841","1h 20m"
"11:25","VS","Virgin Atlantic","Heathrow","LHR","London","VS355","9h 50m"
"11:30","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6827","2h 15m"
"11:30","6E","IndiGo","Allahabad","IXD","Allahabad","6E6937","1h 55m"
"11:30","IX","Air India Express","Patna","PAT","Patna","IX2398","2h 30m"
"11:40","6E","IndiGo","Chennai International","MAA","Chennai","6E6349","2h 5m"
"11:40","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5178","1h 40m"
"11:40","9I","Alliance Air","Jalgaon Airport","JLG","Jalgaon","9I601","1h 20m"
